api,excipient,outcome,severity,url
Aspirin,Lactose monohydrate,Hydrolysis accelerated,"High",https://pubmed.ncbi.nlm.nih.gov/15752822/
Metformin,Lactose monohydrate,Maillard reaction observed,"High",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4111867/
Gabapentin,Lactose monohydrate,Lactam formation,"High",https://pubmed.ncbi.nlm.nih.gov/11269382/
Ciprofloxacin,Magnesium stearate,Chelation reduces dissolution,"High",https://pubmed.ncbi.nlm.nih.gov/2275039/
Atorvastatin,Dicalcium phosphate (DCP),Degradation in basic pH,"Moderate",https://pubmed.ncbi.nlm.nih.gov/20452317/
Levothyroxine,Starch,Adsorption leads to reduced potency,"Low",https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021402s029lbl.pdf
Ibuprofen,Magnesium stearate,Slight reduction in dissolution rate,"Low",https://link.springer.com/article/10.1208/s12249-010-9554-x
Amlodipine,Microcrystalline cellulose (MCC),Adsorption of drug onto MCC surface,"Low",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3467880/
Diclofenac Sodium,Talc,Reduced dissolution,"Moderate",https://pdfs.semanticscholar.org/054f/2e3ffb78c8574d75e012c8b73a21396b2d28.pdf
Losartan Potassium,Povidone (PVP K30),Formation of crystalline salt,"Moderate",https://pubmed.ncbi.nlm.nih.gov/23010167/
Ranitidine,Starch,Color change and degradation,"High",https://pubmed.ncbi.nlm.nih.gov/16479450/
